Name of the initiative,Instrument Type,Jurisdiction Covered,Price_label_1_1990,Price_rate_1_1990,Price_label_2_1990,Price_rate_2_1990,Price_label_1_1991,Price_rate_1_1991,Price_label_2_1991,Price_rate_2_1991,Price_label_1_1992,Price_rate_1_1992,Price_label_2_1992,Price_rate_2_1992,Price_label_1_1993,Price_rate_1_1993,Price_label_2_1993,Price_rate_2_1993,Price_label_1_1994,Price_rate_1_1994,Price_label_2_1994,Price_rate_2_1994,Price_label_1_1995,Price_rate_1_1995,Price_label_2_1995,Price_rate_2_1995,Price_label_1_1996,Price_rate_1_1996,Price_label_2_1996,Price_rate_2_1996,Price_label_1_1997,Price_rate_1_1997,Price_label_2_1997,Price_rate_2_1997,Price_label_1_1998,Price_rate_1_1998,Price_label_2_1998,Price_rate_2_1998,Price_label_1_1999,Price_rate_1_1999,Price_label_2_1999,Price_rate_2_1999,Price_label_1_2000,Price_rate_1_2000,Price_label_2_2000,Price_rate_2_2000,Price_label_1_2001,Price_rate_1_2001,Price_label_2_2001,Price_rate_2_2001,Price_label_1_2002,Price_rate_1_2002,Price_label_2_2002,Price_rate_2_2002,Price_label_1_2003,Price_rate_1_2003,Price_label_2_2003,Price_rate_2_2003,Price_label_1_2004,Price_rate_1_2004,Price_label_2_2004,Price_rate_2_2004,Price_label_1_2005,Price_rate_1_2005,Price_label_2_2005,Price_rate_2_2005,Price_label_1_2006,Price_rate_1_2006,Price_label_2_2006,Price_rate_2_2006,Price_label_1_2007,Price_rate_1_2007,Price_label_2_2007,Price_rate_2_2007,Price_label_1_2008,Price_rate_1_2008,Price_label_2_2008,Price_rate_2_2008,Price_label_1_2009,Price_rate_1_2009,Price_label_2_2009,Price_rate_2_2009,Price_label_1_2010,Price_rate_1_2010,Price_label_2_2010,Price_rate_2_2010,Price_label_1_2011,Price_rate_1_2011,Price_label_2_2011,Price_rate_2_2011,Price_label_1_2012,Price_rate_1_2012,Price_label_2_2012,Price_rate_2_2012,Price_label_1_2013,Price_rate_1_2013,Price_label_2_2013,Price_rate_2_2013,Price_label_1_2014,Price_rate_1_2014,Price_label_2_2014,Price_rate_2_2014,Price_label_1_2015,Price_rate_1_2015,Price_label_2_2015,Price_rate_2_2015,Price_label_1_2016,Price_rate_1_2016,Price_label_2_2016,Price_rate_2_2016,Price_label_1_2017,Price_rate_1_2017,Price_label_2_2017,Price_rate_2_2017,Price_label_1_2018,Price_rate_1_2018,Price_label_2_2018,Price_rate_2_2018,Price_label_1_2019,Price_rate_1_2019,Price_label_2_2019,Price_rate_2_2019,Price_label_1_2020,Price_rate_1_2020,Price_label_2_2020,Price_rate_2_2020,Price_label_1_2021,Price_rate_1_2021,Price_label_2_2021,Price_rate_2_2021,Price_label_1_2022,Price_rate_1_2022,Price_label_2_2022,Price_rate_2_2022,Price_label_1_2023,Price_rate_1_2023,Price_label_2_2023,Price_rate_2_2023,Price_label_1_Instrument_Type,Price_rate_1_Instrument_Type,Price_label_2_Instrument_Type,Price_rate_2_Instrument_Type
Brazil ETS,ETS,Brazil,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
Brunei Darussalam undecided,Undecided,Brunei Darussalam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
California CaT,ETS,California,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,14.48,N/A,N/A,N/A,11.69,N/A,N/A,N/A,12.49,N/A,N/A,N/A,12.8,N/A,N/A,N/A,15.08,N/A,N/A,N/A,15.1,N/A,N/A,N/A,15.77,N/A,N/A,N/A,15.3,N/A,N/A,N/A,17.94,N/A,N/A,N/A,30.82,N/A,N/A,N/A,29.84,N/A,N/A,,,,
Canada federal OBPS,ETS,Canada,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.8344608,N/A,N/A,N/A,39.96163683,N/A,N/A,N/A,48.03073967,N/A,N/A,,,,
Canada federal fuel charge,Carbon tax,Canada,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.99586332,N/A,N/A,N/A,21.10149663,N/A,N/A,N/A,31.8344608,N/A,N/A,N/A,39.96163683,N/A,N/A,N/A,48.03073967,N/A,N/A,,,,
Chile ETS,ETS,Chile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
Chile carbon tax,Carbon tax,Chile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,5,N/A,N/A,N/A,5,N/A,N/A,N/A,5,N/A,N/A,N/A,5,N/A,N/A,N/A,5,N/A,N/A,N/A,5,N/A,N/A,,,,
China national ETS,ETS,China,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.199849028,N/A,N/A,N/A,8.15316299,N/A,N/A,,,,
Colombia ETS,ETS,Colombia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
Colombia carbon tax,Carbon tax,Colombia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.004009861,N/A,N/A,N/A,5.67041516,N/A,N/A,N/A,5.172634562,N/A,N/A,N/A,4.244865787,N/A,N/A,N/A,5,N/A,N/A,N/A,5.013271992,N/A,N/A,N/A,5.055810445,N/A,N/A,,,,
Cote d'Ivoire carbon tax,Carbon tax,Cote d'Ivoire,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
Denmark carbon tax,Carbon tax,Denmark,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.57632399,N/A,N/A,N/A,16.23376623,N/A,N/A,N/A,15.24390244,N/A,N/A,N/A,18.41620626,N/A,N/A,N/A,17.48251748,N/A,N/A,N/A,15.72327044,N/A,N/A,N/A,14.18439716,N/A,N/A,N/A,14.55604076,N/A,N/A,N/A,12.85347044,N/A,N/A,N/A,11.84834123,N/A,N/A,N/A,11.7370892,N/A,N/A,N/A,14.66512194,N/A,N/A,N/A,16.5461555,N/A,N/A,N/A,15.6546242,N/A,N/A,N/A,14.54874638,N/A,N/A,N/A,16.29859529,N/A,N/A,N/A,31.50201613,N/A,N/A,N/A,27.15632225,N/A,N/A,N/A,27.96472917,N/A,N/A,N/A,30.00246544,N/A,N/A,N/A,28.83737582,N/A,N/A,N/A,28.24712792,N/A,N/A,N/A,30.8291926,N/A,N/A,N/A,24.47310837,N/A,N/A,N/A,25.61075831,N/A,N/A,N/A,27.38205277,N/A,N/A,Fossil fuels,28.8180698,F-gases,24.95791264,Fossil fuels,26.38878418,F-gases,22.58024887,Fossil fuels,25.93302537,F-gases,21.97714014,Fossil fuels,28.14081443,F-gases,23.64774322,Fossil fuels,26.62427385,F-gases,22.28594351,Fossil fuels,26.52864568,F-gases,21.90036793,,,,
EU ETS,ETS,"EU, Norway, Iceland, Liechtenstein",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.04973001,N/A,N/A,N/A,32.244399,N/A,N/A,N/A,1.256404,N/A,N/A,N/A,34.48332,N/A,N/A,N/A,15.550804,N/A,N/A,N/A,17.26597599,N/A,N/A,N/A,23.75688,N/A,N/A,N/A,9.296661996,N/A,N/A,N/A,6.060480003,N/A,N/A,N/A,6.757099997,N/A,N/A,N/A,7.689825,N/A,N/A,N/A,4.87867152,N/A,N/A,N/A,6.236738797,N/A,N/A,N/A,16.36535412,N/A,N/A,N/A,24.505702,N/A,N/A,N/A,18.53652517,N/A,N/A,N/A,49.77954802,N/A,N/A,N/A,86.526108,N/A,N/A,N/A,96.298125,N/A,N/A,,,,
EU27+ ETS,ETS,EU27+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
Estonia carbon tax,Carbon tax,Estonia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.305544845,N/A,N/A,N/A,0.422055376,N/A,N/A,N/A,0.418771926,N/A,N/A,N/A,0.52278798,N/A,N/A,N/A,0.592993192,N/A,N/A,N/A,0.936050364,N/A,N/A,N/A,1.210466474,N/A,N/A,N/A,1.331495614,N/A,N/A,N/A,2.34241059,N/A,N/A,N/A,2.646397349,N/A,N/A,N/A,2.70819814,N/A,N/A,N/A,2.8282,N/A,N/A,N/A,2.663799999,N/A,N/A,N/A,2.568000001,N/A,N/A,N/A,2.757999999,N/A,N/A,N/A,2.151,N/A,N/A,N/A,2.232801611,N/A,N/A,N/A,2.36240106,N/A,N/A,N/A,2.47959911,N/A,N/A,N/A,2.247198716,N/A,N/A,N/A,2.18720061,N/A,N/A,N/A,2.349200001,N/A,N/A,N/A,2.2104,N/A,N/A,N/A,2.175,N/A,N/A,,,,
Finland carbon tax,Carbon tax,Finland,N/A,1.74563591,N/A,N/A,N/A,1.732673267,N/A,N/A,N/A,1.55210643,N/A,N/A,N/A,2.405498282,N/A,N/A,N/A,4.047619048,N/A,N/A,N/A,8.927738928,N/A,N/A,N/A,8.272138229,N/A,N/A,N/A,14.08450704,N/A,N/A,N/A,14.59074733,N/A,N/A,N/A,18.57923497,N/A,N/A,N/A,16.42891336,N/A,N/A,N/A,15.16302907,N/A,N/A,N/A,14.96990317,N/A,N/A,N/A,19.65825499,N/A,N/A,N/A,22.23759999,N/A,N/A,N/A,23.39099501,N/A,N/A,N/A,21.773715,N/A,N/A,N/A,24.12563,N/A,N/A,N/A,31.02246,N/A,N/A,N/A,27.035086,N/A,N/A,N/A,27.48818798,N/A,N/A,Other fossil fuels,70.70499999,Liquid transport fuels,42.423,Liquid transport fuels,79.91399996,Liquid transport fuels,39.95699998,Other fossil fuels,64.20000003,Liquid transport fuels,44.94000002,Other fossil fuels,79.98199997,Liquid transport fuels,48.26499998,Other fossil fuels,62.379,Liquid transport fuels,47.322,Liquid transport fuels,64.75124672,Other fossil fuels,60.2856435,Liquid transport fuels,73.23443284,Other fossil fuels,68.50963073,N/A,76.8675724,N/A,N/A,Transport fuels,69.6631602,Other fossil fuels,59.55076598,Transport fuels,67.8032189,Other fossil fuels,57.96081616,Transport fuels,72.82520003,Heating fuels,62.25380002,Transport fuels,85.1004,Other fossil fuels,58.5756,Transport fuels,83.7375,Other fossil fuels,57.6375,,,,
France carbon tax,Carbon tax,France,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.652999996,N/A,N/A,N/A,15.59475,N/A,N/A,N/A,24.56081772,N/A,N/A,N/A,36.02661616,N/A,N/A,N/A,55.29506015,N/A,N/A,N/A,50.11253137,N/A,N/A,N/A,48.7745736,N/A,N/A,N/A,52.38716002,N/A,N/A,N/A,49.29192,N/A,N/A,N/A,48.5025,N/A,N/A,,,,
Fujian pilot ETS,ETS,Fujian,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.313359896,N/A,N/A,N/A,3.183946898,N/A,N/A,N/A,1.51966951,N/A,N/A,N/A,1.280950482,N/A,N/A,N/A,1.246309767,N/A,N/A,N/A,1.825816192,N/A,N/A,N/A,4.65895028,N/A,N/A,,,,
Gabon ETS,ETS,Gabon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
Georgia ETS,ETS,Georgia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
Germany ETS,ETS,Germany,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.36500001,N/A,N/A,N/A,33.156,N/A,N/A,N/A,32.625,N/A,N/A,,,,
